repo,artifact,check,kind,term,requirement,a,a_mode,b,b_mode,failure,limit,blocks,unit,count
web-tools,lib/kits/text-diff.js output vs a brute-force optimum,"tools/test/diff-tool-engine.test.mjs check() (lines 110,123,130,137,144,150,159,171,205)",pseudo-oracle,oracle problem: comparison against an independently written reference solution (N-version testing),"app.diffLines()'s edit count never beats, and stays within a stated factor of, an edit distance computed by a separate brute-force DP; and replaying its ops exactly reconstructs both input arrays in index order","app.diffLines(a,b) ops: edit count, reconstructed left/right, index order",generated by the SUT (page component wrapping kits/text-diff.js) at test time,"optimalEdits(a,b) from a full O(n*m) DP written in the test file",authored reference implementation,"an anchoring heuristic (patience diff) drifting past its allowed slack, or an off-by-one corrupting reconstruction or index order","that the result is minimal; patience diff is allowed to be non-minimal by design, only bounded",ci,test calls,8
web-tools,lib/kits/text-diff.js timing (long/pathological inputs),"tools/test/diff-tool-engine.test.mjs (171,234; 187+199; 220,227,398,405; 263,273,277; 283,291,298,306,315; 345+352; 365; 398)",behavioral expectation,adaptation: performance regression guard against a hard-coded ceiling,a 6000-line diff and a 5000-word pathological line both finish under a stated millisecond ceiling,measured wall-clock time via process.hrtime.bigint(),generated at test time on the CI machine,literal ceilings (2000ms; 300ms) authored in the test,authored,a reintroduced O(n*m) allocation (named as the historical regression) or a removed word-diff cap,that the timing holds on a different machine; only that this run stayed under the stated bound,ci,test calls,8 comparisons of this kind in the file
web-tools,pages/diff-tool.html (genPatch/applyPatch),tools/test/diff-tool-engine.test.mjs (245; 323; 376+387),re-derivation,adaptation: round-trip invariant (encode then decode reproduces the input),"applying a generated unified-diff patch to the original text reproduces the modified text, at every stated context width","app.applyPatch(A, app.genPatch()) for context in [1,3,8,999]",generated by the SUT at test time,the original modified text B (authored literal in the test),authored,a context-width edge case corrupting a hunk boundary,that the patch format is compatible with a real patch tool; only that the page's own encode/decode round-trips,ci,test calls,3 comparisons of this kind in the file
web-tools,lib/kits/text-diff.js vs pages/diff-tool.html,tools/test/diff-tool-engine.test.mjs:358,same-source consistency,regression guard between two build paths sharing one engine,the page component's diffLines/wordDiff/esc methods return exactly what the shared kit's own exported functions return for the same inputs,"app.diffLines(a,b), app.wordDiff(...), app.esc(...) (the page component)",generated by wrapping the kit,"textDiff.lines(a,b), textDiff.words(...), textDiff.esc(...) (the kit)",generated by the same underlying functions,the page component's wrapper diverging from the kit it is supposed to delegate to,anything about whether the shared engine itself is correct; only that the two callers agree,ci,test calls,1
web-tools,lib/gh-fetch.js query documents,tools/test/graphql-schema.test.mjs:34,mount smoke,adaptation: module-load smoke check,evaluating gh-fetch.js against a stub window exposes at least three named query documents,window.GH.queries after running lib/gh-fetch.js through new Function,generated by evaluating the module,literal expectation (>= 3 keys) authored in the test,authored,a refactor that stops exporting GH.queries or renames it,that any individual query is well-formed,ci,test calls,1
web-tools,lib/gh-fetch.js query documents,tools/test/graphql-schema.test.mjs (per-query validate loop),schema conformance,GraphQL document validation against a schema (the GraphQL spec's own validate()),every query document in GH.queries parses and validates with zero errors against GitHub's published schema,each QUERIES[name] document,authored,tools/graphql/github-schema.pruned.graphql,generated by npm run graphql-schema from these same queries,"a renamed or removed field in a query, or a nesting GitHub's schema does not allow","that the query behaves correctly at runtime (pagination, permissions, actual field content); the sandbox cannot POST GraphQL to confirm that",ci,test calls,(count follows GH.queries; currently 4)
web-tools,lib/gh-fetch.js,tools/test/graphql-schema.test.mjs (per-query dead-code check),referential integrity,adaptation: reverse-reference check (every declared document has a caller),every named query in GH.queries is referenced by a QUERIES.<name> call somewhere in gh-fetch.js's own source,QUERIES.<name> regex matches against lib/gh-fetch.js source text,generated by reading code,the query's own key name in window.GH.queries,generated by evaluating the module,"a query added and validated but never wired to a method, so the check blesses dead weight",that the referencing method actually sends the query correctly; only that some method mentions it,ci,test calls,(count follows GH.queries; currently 4)
web-tools,tools/graphql/github-schema.pruned.graphql,tools/test/graphql-schema.test.mjs:52,one-way coverage,adaptation: generated-artifact staleness guard via a header manifest,every query name in GH.queries appears in the pruned schema's generated header comment,Object.keys(QUERIES) at test time,generated by evaluating the module,"the schema file's header lines (# <name>), generated by tools/build/graphql-schema.mjs",generated by npm run graphql-schema,"a fourth query added that happens to validate by luck against the existing slice, without regenerating the schema",that the schema slice is complete for the query's actual field usage; only that its name is declared,ci,test calls,1
web-tools,tools/graphql/github-schema.pruned.graphql,tools/test/graphql-schema.test.mjs (controls section),mutation control,adaptation: negative control proving the check can fail (cf. mutation testing's premise),"a misspelled field, a disallowed nesting, and an omitted required argument each still produce a validation error",QUERIES.branchesDated with one string surgically altered (typo/nesting/dropped arg),authored mutation of a generated query at test time,validate() error list,generated by the GraphQL validator against the pruned schema,"the prune silently dropping the argument or type constraint that makes the control fail, which would mean the whole file validates by accident",that the real (unmutated) queries are correct; this only proves the check is not vacuous,ci,test calls,3
web-tools,lib/gh-boot.js,tools/test/gh-boot-pageboot.test.mjs (14; 20; 26),source-shape contract,adaptation: a regex over source text asserting that a guard exists and is ordered before its fallback; runs nothing,"gh-boot awaits a page-published window.__pageBoot before falling back to its own Alpine mount, and does so inside a try/catch so a failed page chain cannot block the FAB",positions of 'await window.__pageBoot' and 'gh.load(FAB_BOOT.alpine)' in lib/gh-boot.js,authored,a regex for the required try/catch wrapper shape,authored,"a refactor moving the fallback ahead of the guard, recreating the live race the comment describes (shorter.html on a phone via #gh=)","that the timer's 1500ms value is itself correct, or that the guard actually prevents the race at runtime; the file is network-bound so this is a static pin",ci,test calls,3 comparisons of this kind in the file
web-tools,pages/shorter.html and lib/kits/demos/compression.html (renderCopy output),tools/test/render-copy.mjs (pass 1 chain-page checks; gh-toss checks; gz-toss framing checks),behavioral expectation,adaptation: structural check on a function's output driven through a real headless browser,"renderCopy() on a chain-booted page succeeds, inlines the chain, carries the read value, rewrites the boot import to the carried build, and stores the build as readable source rather than percent-encoded","out (the object window.exporter.renderCopy() returns, observed via Playwright) for each CASE with chain:true",generated by the SUT running live in Chromium,"hand-authored expectations (READ_PATH present, specific substrings 'import(window.__wtBuild)', 'const __CACHE = {', absence of the data: URI form)",authored,"a future bake() change that stops inlining a module class, or reverts to percent-encoding",that the copy actually renders standalone; that is checked separately in pass 2,suite-only,test calls,3 comparisons of this kind in the file
web-tools,pages/word-select.html,tools/test/render-copy.mjs (no-chain case; pass 2 checks; host-block checks),metamorphic relation,"metamorphic testing (Chen, Cheung and Yiu 1998): the same page under a transformed condition must render identically","a page with no gh.load chain cannot boot gh to run renderCopy, and lib/build.js's own bakeable() function independently agrees there is nothing to inline","renderCopy() failure message observed live, and buildKit.bakeable(src) called directly against the page's source",generated by running the browser and by evaluating lib/build.js respectively,"literal expectation (/did not boot gh/, false)",authored,"build.js's bakeable() detector changing its heuristic without the live behavior changing to match, or vice versa",that every chainless page is correctly detected; only the one named page,suite-only,test calls,3 comparisons of this kind in the file
web-tools,pages/toss-render.html (#gz= payload toss),tools/test/render-copy.mjs (gz-toss adoption check),re-derivation,adaptation: round-trip invariant through gzip+base64url encoding,the payload string the shell decompresses and adopts as the take target is byte-identical to the original literal payload before it was gzipped and encoded,seen.adopted (decompressed in the live page after the shell reads the #gz= fragment),generated by the SUT running live,the original payload literal authored in the test before gzipSync/base64 encoding,authored,a base64url replacement or padding-strip step corrupting the payload during decode,"that gzip/base64url handling is correct for any payload, not just this one small HTML string",suite-only,test calls,1
