id,path,key,identity,membership,inherits,target,scope,fields,gate,area,title,gloss,renders_in
skills,skills/manifest.csv,name,,computed,,a skill,every directory under skills/,governed,tools/test/skills-registry.test.mjs,files,Skill roster,"The skills this repo ships, each carrying the trigger description its own SKILL.md owns.",lib/alpineComponents/map.js
surfacing,docs/surfacing.csv,key,,curated,,a surfacing primitive,"the primitives SURFACING.md defines. The PROSE stays authoritative and this is its gated index, so ownership runs opposite to every other registry here; declaring its fields governs the INDEX, not the definitions",governed,tools/test/surfacing-manifest.test.mjs,names,Surfacing primitives,"The gated index of SURFACING.md’s primitives, the prose staying authoritative.",lib/alpineComponents/map.js
tests,docs/tests.csv,path,path,computed,,a test file,every .mjs under tools/test/ except the declared shared helpers,governed,tools/test/tests-registry.test.mjs,files,Test coverage map,"Every check in the suite, what kind it is, and what breaks if it is deleted.",lib/alpineComponents/fab.js;lib/alpineComponents/map.js
text-fields,docs/text-fields.csv,field,,curated,,a prose field name,"the names a prose-bearing CSV column or JSON key may carry, estate-wide; portable, since a concept named once should be the same concept in every repo",governed,tools/test/text-fields-registry.test.mjs,names,Prose field vocabulary,"The sanctioned names for a prose-bearing field, so one concept is not called four things across four carriers.",lib/alpineComponents/map.js
tools,docs/tools.csv,path,path,curated,pages,a utility page,"pages the Tools view shelves; a crosswalk over pages, which owns each page's title and description. Every bare hub path must resolve to a row in pages/pages.csv",governed,tools/test/properties-registry.test.mjs,files,Tools shelf,"The authored selection of pages the Tools view shows, and the icon each is given; a crosswalk over the page gallery.",lib/alpineComponents/tools.js
tracker-tasks,tracker/board.csv,id,,computed,,a tracker task,every task file under tracker/tasks/,governed,tools/test/artifacts-lockstep.test.mjs,files,Tracker board,"Every task in the project tracker, its state, size, and activity, derived from the task files.",app/index.html
tracker-tags,tracker/board-tags.csv,task+tag,,computed,,an open tag on a tracker task,"every frontmatter key a task file carries that the generator does not recognize, one row per pair. The second grain of the same source: TRACKER.md keeps the tag layer open, so it cannot be columns, and a CSV holds one table",governed,tools/test/artifacts-lockstep.test.mjs,files,Tracker open tags,"The unrecognized frontmatter a task carries, preserved so a consumer can select on it before the generator learns it.",app/index.html
app-routes,docs/app-routes.csv,key,app route,curated,,a show-repo address,"the ?view= keys show-repo.html's VIEWS table dispatches, and the files that render each; not toss routes, which are a content type mapped to a renderer page and answer to routes-routes",governed,tools/test/app-routes.test.mjs,names,App route inventory,"Every destination the show-repo app can be sent to, what it is for, and which files draw it.",lib/alpineComponents/estate.js
registries,docs/registries.csv,id,registry-id,curated,,a registry,"registries the estate declares. Curated, not computed: no rule decides whether a file is a registry, which is why this table missed itself and .paths.json",governed,tools/test/properties-registry.test.mjs,files,Registries,"every registry the estate declares: where it lives, what it asserts about, and what holds it",lib/alpineComponents/map.js
properties,docs/properties.csv,registry+property,,computed,,a property one registry records about its targets,"every column of every registry in registries.csv, except each registry's key, which is the row's identity rather than a fact about it",governed,tools/test/properties-registry.test.mjs,names,Properties,"every column of every registry: what it means, how it arises, and what it may hold",lib/alpineComponents/map.js
repetitions,docs/repetitions.csv,subject+where,,curated,,"one repetition of a statement, somewhere other than its owner","every place a registered statement is said again; curated alongside owners.csv, which names the statement",governed,tools/test/owners-registry.test.mjs,names,Statement repetitions,"for each statement the coordination layer repeats, where the copy sits, how it relates, and what holds it",lib/alpineComponents/map.js
vocabularies,docs/vocabularies.csv,registry+property+value,,computed,,one value of one closed domain,every value of every closed domain declared in properties.csv that is worth a gloss; a domain whose values speak for themselves needs no rows,governed,tools/test/properties-registry.test.mjs,names,Value glosses,"what each value of a closed domain means, which the domain column itself cannot carry",lib/alpineComponents/estate.js;lib/alpineComponents/map.js
